folder_name,noise_level,nlm_h,nlm_tws,nlm_sws,gb_kernel,clahe_cl,clahe_tgs,thresh_bs,thresh_c,morphx_kernel,kernel_open,kernel_close
HU,33.58666725011039,18,29,42,"(3,3)",1.7,"(20,20)",95,11.1,"(2,2)","(2,2)","(5,5)"
HU,33.58410742205463,18,29,42,"(3,3)",1.7,"(20,20)",95,11.1,"(2,2)","(2,2)","(5,5)"
HU,34.20289591663637,18,29,42,"(3,3)",1.7,"(20,20)",95,11.1,"(2,2)","(2,2)","(5,5)"
HU,36.42520612485277,18,29,42,"(3,3)",1.7,"(20,20)",95,11.1,"(2,2)","(2,2)","(5,5)"
PL,35.32623626373626,21,29,42,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
HU,32.89591707213878,30,29,42,"(3,3)",1.7,"(20,20)",95,11.1,"(2,2)","(2,2)","(5,5)"
PL,34.27574500188608,19,28,42,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
PL,35.83162331540125,19,28,42,"(3,3)",2.2,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
HU,32.89591707213878,25,29,42,"(3,3)",1.7,"(10,10)",95,9.1,"(2,2)","(2,2)","(5,5)"
PL,32.921278731698415,17,29,42,"(3,3)",2.7,"(20,20)",43,11.9,"(2,2)","(2,2)","(5,5)"
HU,32.79639985261287,25,29,42,"(3,3)",1.7,"(10,10)",95,9.1,"(2,2)","(2,2)","(5,5)"
PL,33.05555555555556,19,28,44,"(3,3)",2.9,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HU,35.469769906316586,25,29,42,"(3,3)",1.7,"(10,10)",95,9.1,"(2,2)","(2,2)","(5,5)"
HU,33.81960428350677,29,29,42,"(3,3)",1.7,"(10,10)",95,9.1,"(2,2)","(2,2)","(5,5)"
HU,35.67713096624216,19,29,42,"(3,3)",1.7,"(10,10)",77,11.1,"(2,2)","(2,2)","(5,5)"
HU,35.67713096624216,19,29,42,"(3,3)",1.7,"(10,10)",77,11.1,"(2,2)","(2,2)","(5,5)"
PL,34.074952531136354,19,28,43,"(3,3)",2.2,"(20,20)",33,9.1,"(2,2)","(2,2)","(5,5)"
HU,33.014997444277505,16,29,42,"(3,3)",2.3,"(20,20)",77,11.1,"(2,2)","(2,2)","(5,5)"
